id,created_at,text
1104049983760805889,2019-03-08 16:03:23,b'The Crew Dragon\xe2\x80\x99s been on quite a ride since I last saw it\xe2\x80\x94congrats to @NASA and @SpaceX on a successful return! We\xe2\x80\xa6 https://t.co/eJVhuf5KTQ'
1104012516307451905,2019-03-08 13:34:30,"b'Preethi, Alice, and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women\xe2\x80\x99s\xe2\x80\xa6 https://t.co/z319lmm1iP'"
1104011854437863424,2019-03-08 13:31:52,b'And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training an\xe2\x80\xa6 https://t.co/qTd90Kw7ev'
1104011700724994049,2019-03-08 13:31:15,"b'.@BarbeAlice is helping refugees resettle into welcoming communities in France, offering them job training and lang\xe2\x80\xa6 https://t.co/CoeFcGSJ7d'"
1104011515227713538,2019-03-08 13:30:31,b'.@preethiherman is helping women unleash their power to change their societies. As head of the\xe2\x80\xa6 https://t.co/1anUW1vugu'
1104011361099624448,2019-03-08 13:29:54,"b'On International Women\xe2\x80\x99s Day, I\xe2\x80\x99m reflecting on the future we all want for our daughters: one where they can live o\xe2\x80\xa6 https://t.co/oJiJ7foBZy'"
1098659030204116992,2019-02-21 19:01:39,b'It\xe2\x80\x99s up to all of us as citizens to make sure that the rules of democracy are fair\xe2\x80\x94everywhere\xe2\x80\x94because the next deca\xe2\x80\xa6 https://t.co/Tpv5NoYazl'
1098442623239573505,2019-02-21 04:41:44,b'Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.'
1098009940436885506,2019-02-20 00:02:24,b'I\xe2\x80\x99m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color\xe2\x80\xa6 https://t.co/iAL5ZRVOUv'
1097587860549570560,2019-02-18 20:05:12,"b'RT @ObamaFoundation: Ahead of #MBKRising and in honor of Black History Month, @BarackObama shared a nonfiction reading list that can help t\xe2\x80\xa6'"
1096871952512368642,2019-02-16 20:40:27,b'I\xe2\x80\x99ve always loved basketball because it\xe2\x80\x99s about building a team that\xe2\x80\x99s equal to more than the sum of its parts. Gla\xe2\x80\xa6 https://t.co/QZ2PTwFPmq'
1096114852941234176,2019-02-14 18:32:00,"b'Happy Valentine\xe2\x80\x99s Day to the extraordinarily smart, beautiful, funny, one and only @MichelleObama. It\xe2\x80\x99s true; she d\xe2\x80\xa6 https://t.co/STEbQ40XQ5'"
1096066230442749952,2019-02-14 15:18:47,"b'In the year since their friends were killed, the students of Parkland refused to settle for the way things are and\xe2\x80\xa6 https://t.co/HLvyhgqiup'"
1095882980839616512,2019-02-14 03:10:37,"b'Don\xe2\x80\x99t be sad it\xe2\x80\x99s over, be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers\xe2\x80\xa6 https://t.co/lFxXcgiBqS'"
1095492333481705472,2019-02-13 01:18:20,"b'Happy 85th birthday to @RealBillRussell - the greatest champion in American sports, and a lifelong warrior for justice.'"
1094808564437303297,2019-02-11 04:01:16,b'RT @MichelleObama: A big part of friendship is showing up for your girls\xe2\x80\x94that\xe2\x80\x99s why I was thrilled to be there for the one and only @alicia\xe2\x80\xa6'
1093722143513346048,2019-02-08 04:04:14,b'My statement on the passing of former Congressman John Dingell: https://t.co/gjBYHHImzB'
1093721973824339968,2019-02-08 04:03:33,b'We lost two great Americans today \xe2\x80\x93 Frank Robinson and John Dingell \xe2\x80\x93 citizens who inspired me and so many others b\xe2\x80\xa6 https://t.co/EcjpeHhzgf'
1091367581964034048,2019-02-01 16:08:02,"b'As we celebrate Black History Month and Jackie Robinson\xe2\x80\x99s 100th birthday, we celebrate the life of all whose courag\xe2\x80\xa6 https://t.co/2JUfORxB3X'"
1088863791058698240,2019-01-25 18:18:52,b'The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this. I am\xe2\x80\xa6 https://t.co/dV9rIvzy8L'
1087382991901474816,2019-01-21 16:14:42,"b'I\xe2\x80\x99ve always drawn inspiration from what Dr. King called life\xe2\x80\x99s most persistent and urgent question: ""What are you d\xe2\x80\xa6 https://t.co/Cxspr7qtwG'"
1085995668668366848,2019-01-17 20:21:58,b'RT @MBK_Alliance: President Obama challenged us to improve our communities in 2019\xe2\x80\x94and mentorship is a concrete action we can take. With @M\xe2\x80\xa6'
1085915185146150912,2019-01-17 15:02:10,"b'I knew it way back then and I\xe2\x80\x99m absolutely convinced of it today \xe2\x80\x94 you\xe2\x80\x99re one of a kind, @MichelleObama. Happy Birt\xe2\x80\xa6 https://t.co/VLwQtcydJm'"
1080136459670175744,2019-01-01 16:19:34,"b'In 2018 people stepped up and showed up like never before. Keep it up in 2019. We\xe2\x80\x99ve got a lot of work to do, and I\xe2\x80\xa6 https://t.co/7XRYXZbFTu'"
1079048231298883584,2018-12-29 16:15:20,"b'I hope you find inspiration in the stories of Dejah, Moussa, Sandor, Hong and Jonny. Their journeys began with a de\xe2\x80\xa6 https://t.co/nfkq6OHmuc'"
1079048229382017024,2018-12-29 16:15:20,"b'Leaders like Jonny Boucher, a Chicago native who, after losing too many friends and family to suicide, started a co\xe2\x80\xa6 https://t.co/lKmjQt4MNA'"
1079048228354457600,2018-12-29 16:15:20,"b'Leaders like Hong Hoang, who mobilized a youth-led movement to create a greener world after becoming the first Viet\xe2\x80\xa6 https://t.co/gDZ1xNFqhP'"
1079048227448475649,2018-12-29 16:15:19,"b'Leaders like Moussa Kondo and Sandor Lederer, who are each doing their part to fight corruption in their native cou\xe2\x80\xa6 https://t.co/XfRJsPyEBG'"
1079048223342264320,2018-12-29 16:15:18,"b'Leaders like Dejah Powell, who started an organization to bring health and wellness resources to communities on the\xe2\x80\xa6 https://t.co/bHnnttq0bZ'"
1079048221861634048,2018-12-29 16:15:18,"b'As the year winds down and we look toward 2019, I\xe2\x80\x99m asking you to make a commitment: find something you want to cha\xe2\x80\xa6 https://t.co/wg2DdYAJWs'"
1078660520650174464,2018-12-28 14:34:43,"b'As 2018 draws to a close, I\xe2\x80\x99m continuing the tradition of sharing my year-end lists. It gives me a moment to reflec\xe2\x80\xa6 https://t.co/rSD2tphr3l'"
1077568301281263616,2018-12-25 14:14:37,b'Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas! https://t.co/LKLqlYfFUw'
1075857251066363905,2018-12-20 20:55:31,b'There\xe2\x80\x99s no better time than the holidays to give back to your community. Yesterday I got to do just that at\xe2\x80\xa6 https://t.co/gGLJomf3ua'
1075508118359076864,2018-12-19 21:48:12,"b'Merry Christmas and happy holidays to the extraordinary kids, families, and staff at Children\xe2\x80\x99s National. And thank\xe2\x80\xa6 https://t.co/zhMp8GSpfO'"
1074050377291624449,2018-12-15 21:15:39,b'Today is the last day of open enrollment. That means it\xe2\x80\x99s the deadline to make sure you and the people you love hav\xe2\x80\xa6 https://t.co/MMZXvDdvaU'
1073744054960250880,2018-12-15 00:58:26,"b'Joe is right. Head to https://t.co/SS87NTsgJt before tomorrow\xe2\x80\x99s deadline. And nice bracelet, by the way. https://t.co/NFy3LxZe3f'"
1073068889339240450,2018-12-13 04:15:34,"b'As Bobby Kennedy taught us, the thing about hope is that it travels through space *and* time, first splashing again\xe2\x80\xa6 https://t.co/EsieA1Ry5F'"
1072904726180712453,2018-12-12 17:23:14,"b'RT @ObamaFoundation: The Cares Family reaches across generational divides to reduce loneliness in the U.K. Hear more from Alex Smith, found\xe2\x80\xa6'"
1072154184382844928,2018-12-10 15:40:51,b'No jump shots. No ferns. No memes. Not this time. I\xe2\x80\x99m going to give it to you straight: If you need health insuranc\xe2\x80\xa6 https://t.co/rThqk0VTXA'
1071408513933602816,2018-12-08 14:17:50,b'RT @GetUSCovered: Just ONE WEEK LEFT to #GetCovered for 2019. Most folks can find coverage for $75 or less per month.\n\nHead over to https:/\xe2\x80\xa6'
1069352929633755136,2018-12-02 22:09:40,"b'Happy Hanukkah! Over these eight nights, we draw inspiration from light that can overpower any darkness, and recomm\xe2\x80\xa6 https://t.co/IxuDfVzDLf'"
1068740570921738241,2018-12-01 05:36:23,"b'America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today, they\xe2\x80\xa6 https://t.co/2Gn7sGTG90'"
1065318418470064128,2018-11-21 18:57:58,"b'I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doi\xe2\x80\xa6 https://t.co/Mnydz2BMZX'"
1065056512324919296,2018-11-21 01:37:14,b'Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me\xe2\x80\xa6 https://t.co/noTTWJDrlv'
1064638575139069953,2018-11-19 21:56:30,b'RT @ObamaFoundation: The Obama Presidential Center represents a historic opportunity to build a world-class museum and public gathering spa\xe2\x80\xa6'
1064300232308113408,2018-11-18 23:32:03,"b'When someone shares their story, we see the world through their eyes. I\xe2\x80\x99m looking forward to hearing a few from lea\xe2\x80\xa6 https://t.co/4ZM6S85yuU'"
1063110344762105857,2018-11-15 16:43:52,"b'Our future depends on all our young people, including our boys and young men of color, being able to achieve their\xe2\x80\xa6 https://t.co/TaRXBwtm9v'"
1062414184938377216,2018-11-13 18:37:35,"b'Of course, @MichelleObama\xe2\x80\x99s my wife, so I\xe2\x80\x99m a little biased here. But she also happens to be brilliant, funny, wise\xe2\x80\xa6 https://t.co/bhzH5QSA0x'"
1061821087724564480,2018-11-12 03:20:49,"b'Michelle and I are heartbroken for everybody who\xe2\x80\x99s lost so much in California, and grateful for the heroism of the\xe2\x80\xa6 https://t.co/4sNwd1l283'"
1061653443058827264,2018-11-11 16:14:40,"b""To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your ser\xe2\x80\xa6 https://t.co/ypSU5ocwN2"""
1060203563069198336,2018-11-07 16:13:21,b'Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The chang\xe2\x80\xa6 https://t.co/KtOmsuUdHh'
1059844527068979201,2018-11-06 16:26:40,"b'Today is the day. Today, it\xe2\x80\x99s your turn to raise your voice to change the course of this country for the better. So\xe2\x80\xa6 https://t.co/PHQApoHdgr'"
1059517330366087169,2018-11-05 18:46:31,"b'If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step w\xe2\x80\xa6 https://t.co/QwBCsv2WKS'"
1059517327815991299,2018-11-05 18:46:30,"b'When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed per\xe2\x80\xa6 https://t.co/IqykmSWOMo'"
1059517324053622785,2018-11-05 18:46:29,"b'When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyon\xe2\x80\xa6 https://t.co/KmjBq77g5M'"
1059517321524535296,2018-11-05 18:46:28,"b""When we've been at such crossroads before, Americans have made the right choice. Not because we sat back and waited\xe2\x80\xa6 https://t.co/Rrxma5NCX1"""
1059517317011398656,2018-11-05 18:46:27,b'Tomorrow\xe2\x80\x99s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Ma\xe2\x80\xa6 https://t.co/9Vw2V9sSLv'
1058106616464240640,2018-11-01 21:20:50,"b'Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, vis\xe2\x80\xa6 https://t.co/VKJHRTRNY2'"
1058064323984179206,2018-11-01 18:32:47,"b'Elections matter. You have the power to protect a family\xe2\x80\x99s health care. Make a plan, grab some friends, and vote: https://t.co/rY8Ip1km9p'"
1058064320356081665,2018-11-01 18:32:46,"b""While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preex\xe2\x80\xa6 https://t.co/tixOSz0DNP"""
