,text
0,b'The Crew Dragon\xe2\x80\x99s been on quite a ride since I last saw it\xe2\x80\x94congrats to @NASA and @SpaceX on a successful return! We\xe2\x80\xa6 https://t.co/eJVhuf5KTQ'
1,"b'Preethi, Alice, and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women\xe2\x80\x99s\xe2\x80\xa6 https://t.co/z319lmm1iP'"
2,b'And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training an\xe2\x80\xa6 https://t.co/qTd90Kw7ev'
3,"b'.@BarbeAlice is helping refugees resettle into welcoming communities in France, offering them job training and lang\xe2\x80\xa6 https://t.co/CoeFcGSJ7d'"
4,b'.@preethiherman is helping women unleash their power to change their societies. As head of the\xe2\x80\xa6 https://t.co/1anUW1vugu'
5,"b'On International Women\xe2\x80\x99s Day, I\xe2\x80\x99m reflecting on the future we all want for our daughters: one where they can live o\xe2\x80\xa6 https://t.co/oJiJ7foBZy'"
6,b'It\xe2\x80\x99s up to all of us as citizens to make sure that the rules of democracy are fair\xe2\x80\x94everywhere\xe2\x80\x94because the next deca\xe2\x80\xa6 https://t.co/Tpv5NoYazl'
7,b'Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.'
8,b'I\xe2\x80\x99m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color\xe2\x80\xa6 https://t.co/iAL5ZRVOUv'
9,"b'RT @ObamaFoundation: Ahead of #MBKRising and in honor of Black History Month, @BarackObama shared a nonfiction reading list that can help t\xe2\x80\xa6'"
10,b'I\xe2\x80\x99ve always loved basketball because it\xe2\x80\x99s about building a team that\xe2\x80\x99s equal to more than the sum of its parts. Gla\xe2\x80\xa6 https://t.co/QZ2PTwFPmq'
11,"b'Happy Valentine\xe2\x80\x99s Day to the extraordinarily smart, beautiful, funny, one and only @MichelleObama. It\xe2\x80\x99s true; she d\xe2\x80\xa6 https://t.co/STEbQ40XQ5'"
12,"b'In the year since their friends were killed, the students of Parkland refused to settle for the way things are and\xe2\x80\xa6 https://t.co/HLvyhgqiup'"
13,"b'Don\xe2\x80\x99t be sad it\xe2\x80\x99s over, be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers\xe2\x80\xa6 https://t.co/lFxXcgiBqS'"
14,"b'Happy 85th birthday to @RealBillRussell - the greatest champion in American sports, and a lifelong warrior for justice.'"
15,b'RT @MichelleObama: A big part of friendship is showing up for your girls\xe2\x80\x94that\xe2\x80\x99s why I was thrilled to be there for the one and only @alicia\xe2\x80\xa6'
16,b'My statement on the passing of former Congressman John Dingell: https://t.co/gjBYHHImzB'
17,b'We lost two great Americans today \xe2\x80\x93 Frank Robinson and John Dingell \xe2\x80\x93 citizens who inspired me and so many others b\xe2\x80\xa6 https://t.co/EcjpeHhzgf'
18,"b'As we celebrate Black History Month and Jackie Robinson\xe2\x80\x99s 100th birthday, we celebrate the life of all whose courag\xe2\x80\xa6 https://t.co/2JUfORxB3X'"
19,b'The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this. I am\xe2\x80\xa6 https://t.co/dV9rIvzy8L'
20,"b'I\xe2\x80\x99ve always drawn inspiration from what Dr. King called life\xe2\x80\x99s most persistent and urgent question: ""What are you d\xe2\x80\xa6 https://t.co/Cxspr7qtwG'"
21,b'RT @MBK_Alliance: President Obama challenged us to improve our communities in 2019\xe2\x80\x94and mentorship is a concrete action we can take. With @M\xe2\x80\xa6'
22,"b'I knew it way back then and I\xe2\x80\x99m absolutely convinced of it today \xe2\x80\x94 you\xe2\x80\x99re one of a kind, @MichelleObama. Happy Birt\xe2\x80\xa6 https://t.co/VLwQtcydJm'"
23,"b'In 2018 people stepped up and showed up like never before. Keep it up in 2019. We\xe2\x80\x99ve got a lot of work to do, and I\xe2\x80\xa6 https://t.co/7XRYXZbFTu'"
24,"b'I hope you find inspiration in the stories of Dejah, Moussa, Sandor, Hong and Jonny. Their journeys began with a de\xe2\x80\xa6 https://t.co/nfkq6OHmuc'"
25,"b'Leaders like Jonny Boucher, a Chicago native who, after losing too many friends and family to suicide, started a co\xe2\x80\xa6 https://t.co/lKmjQt4MNA'"
26,"b'Leaders like Hong Hoang, who mobilized a youth-led movement to create a greener world after becoming the first Viet\xe2\x80\xa6 https://t.co/gDZ1xNFqhP'"
27,"b'Leaders like Moussa Kondo and Sandor Lederer, who are each doing their part to fight corruption in their native cou\xe2\x80\xa6 https://t.co/XfRJsPyEBG'"
28,"b'Leaders like Dejah Powell, who started an organization to bring health and wellness resources to communities on the\xe2\x80\xa6 https://t.co/bHnnttq0bZ'"
29,"b'As the year winds down and we look toward 2019, I\xe2\x80\x99m asking you to make a commitment: find something you want to cha\xe2\x80\xa6 https://t.co/wg2DdYAJWs'"
30,"b'As 2018 draws to a close, I\xe2\x80\x99m continuing the tradition of sharing my year-end lists. It gives me a moment to reflec\xe2\x80\xa6 https://t.co/rSD2tphr3l'"
31,b'Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas! https://t.co/LKLqlYfFUw'
32,b'There\xe2\x80\x99s no better time than the holidays to give back to your community. Yesterday I got to do just that at\xe2\x80\xa6 https://t.co/gGLJomf3ua'
