,text
0,"b'More people are working today in the United States, 158,000,000, than at any time in our Country\xe2\x80\x99s history. That is a Big Deal!'"
1,"b'Despite the most hostile and corrupt media in the history of American politics, the Trump Administration has accomp\xe2\x80\xa6 https://t.co/dEdKTZfecj'"
2,"b'RT @WhiteHouse: \xe2\x80\x9cPublic optimism in their personal economy has hit a 16-year high under President Trump.""\n\n\xe2\x80\x9cThe job market doesn\xe2\x80\x99t get much\xe2\x80\xa6'"
3,b'RT @mike_pence: Great to be in Kentucky! I\xe2\x80\x99m proud to stand with @MattBevin who is working tirelessly for the great people of the Bluegrass\xe2\x80\xa6'
4,b'\xe2\x80\x9cDonald Trump\xe2\x80\x99s Approval Rating is at or near his highest level ever. The media is not being honest about what is h\xe2\x80\xa6 https://t.co/zVnmGwryu1'
5,b'RT @TomFitton: .@JudicialWatch uncovers major Ohr-Steele-Fusion GPS collusion docs PLUS did Schiff conspire with Cohen to smear @RealDonald\xe2\x80\xa6'
6,"b""RT @WhiteHouse: Economic security is national security. \n\nThat's the principle at work as President @realDonaldTrump helps our veterans tra\xe2\x80\xa6"""
7,b'RT @GOPChairwoman: Since the mainstream media doesn\xe2\x80\x99t cover the booming @realDonaldTrump economy enough:\n\n-Wage growth just hit 3.4% \xe2\x80\x93 the\xe2\x80\xa6'
8,b'Will soon be 145 Judges! https://t.co/LoTbT4RFJj'
9,b'This is just the beginning! https://t.co/PYwFGVGUxX'
10,"b""RT @TimRunsHisMouth: Democrats so far in 2019:\n\n\xe2\x9c\x85Won't condemn anti-semitism in the House of Reps.\n\n\xe2\x9c\x85Do nothing against a racist Governor w\xe2\x80\xa6"""
11,b'The Witch Hunt continues! https://t.co/9W1iUgE0d6'
12,"b'....and renovated, with MUCH MORE to follow shortly. Tens of thousands of illegals are being apprehended (captured)\xe2\x80\xa6 https://t.co/N0NHREEHvN'"
13,"b'Wacky Nut Job @AnnCoulter, who still hasn\xe2\x80\x99t figured out that, despite all odds and an entire Democrat Party of Far\xe2\x80\xa6 https://t.co/A6w2BehCFW'"
14,b'I hope the grandstanding Governor of California is able to spend his very highly taxed citizens money on asylum hol\xe2\x80\xa6 https://t.co/MIXmbjsSEt'
15,b'RT @dbongino: Is there anything that the Democrats stand for that aligns with American values anymore? Now that they\xe2\x80\x99ve gone all-in on anti\xe2\x80\xa6'
16,"b""RT @RepMarkMeadows: Before Michael Cohen's testimony last week, he and Adam Schiff met for TEN hours. But last Sunday, Schiff told CBS his\xe2\x80\xa6"""
17,b'RT @RepDanCrenshaw: Today I offered a motion to recommit #HR1 reaffirming that only US citizens should have the right to vote. \n\nDems rejec\xe2\x80\xa6'
18,b'Border Patrol and Law Enforcement has apprehended (captured) large numbers of illegal immigrants at the Border. The\xe2\x80\xa6 https://t.co/3XfwVWIeDQ'
19,b'https://t.co/QUuEBfFo44'
20,b'.@RepMikeTurner  \xe2\x80\x9cThe only time that Michael Cohen told the truth is when he pled that he is guilty.\xe2\x80\x9d  Also when he\xe2\x80\xa6 https://t.co/e1W6uJ2I8x'
21,b'RT @MSNBC: President Trump and First Lady Melania Trump view memorial crosses for the 23 people killed in the Alabama tornadoes. https://t.\xe2\x80\xa6'
22,b'Unimaginable loss - Such great people! https://t.co/AV9oi8XuaE'
23,b'RT @IvankaTrump: Thank you for your exemplary service to our nation Secretary Wilson! https://t.co/sYGLGmOT4X'
24,b'RT @FLOTUS: Happy #InternationalWomensDay2019 https://t.co/MtecsanuEo'
25,b'RT @IvankaTrump: Happy International Women\xe2\x80\x99s Day! #IWD2019 #WGDP @USAID @WhiteHouse https://t.co/DOX6vGeCZd'
26,"b'RT @marklevinshow: Victor Davis Hanson is on next. His new book, the Case for Trump, is out now! https://t.co/u8JLoroBca'"
27,"b'RT @marklevinshow: Ron DeSantis, America\xe2\x80\x99s governor https://t.co/WmJ9yC922a'"
28,b'RT @cvpayne: Jobs Report:  Most Important Highlight\nNon-Supervisory Wages continue to surge and outpace overall wage increases\nThis is amaz\xe2\x80\xa6'
29,b'RT @LouDobbs: Radical Dimms embarrass themselves:  Debate over anti-Semitism charges exposes divide in Democratic Party. https://t.co/xm4SD\xe2\x80\xa6'
30,"b'RT @LouDobbs: #AmericaFirst \xe2\x80\x93 @marc_lotter: Democrats couldn\xe2\x80\x99t condemn anti-semitism. That\xe2\x80\x99s because the radical, left-wing socialists have\xe2\x80\xa6'"
31,b'RT @TomFitton: .@JudicialWatch exposed that Clinton operation and FBI paying Steele at the same time here:  https://t.co/fICH35a59c https:/\xe2\x80\xa6'
32,b'RT @TomFitton: NEW: Cohen Testimony is Abuse of @RealDonaldTrump: Deep State Abuse and Leaks Targets Trump Family/WH On Security Clearances\xe2\x80\xa6'
33,b'Sessions didn\xe2\x80\x99t have a clue! https://t.co/XlLpnINOBv'
34,"b'Aluminum prices are down 12% since I instituted Tariffs on Aluminum Dumping - and the U.S. will be taking in Billions, plus jobs. Nice!'"
35,"b'RT @paulsperry_: Cohen claimed his shady father-in-law\'s ""in the clothing business"" when in fact he\'s loan shark in same taxicab medallion\xe2\x80\xa6'"
36,"b'RT @paulsperry_: BREAKING: Democratic Rep. Jerry ""Joe McCarthy"" Nadler, who just yesterday declared that Trump obstructed justice, just now\xe2\x80\xa6'"
37,"b'RT @paulsperry_: Despite running informants/stings on Trump camp, electronically spying for yr,unmasking NSA intercepts, rummaging thru Tru\xe2\x80\xa6'"
38,"b'RT @paulsperry_: Glenn Simpson &amp; Christopher Steele r 2 of biggest villains in Russia collusion hoax, yet neither has faced serious scrutin\xe2\x80\xa6'"
39,"b'RT @paulsperry_: Now that even some MSM acknowledging there never was a ""collusion"" scandal, when will MSM start investigating the real sca\xe2\x80\xa6'"
40,"b'RT @IvankaTrump: We have reached 6,577,623 pledged new career opportunities, apprenticeships, continuing education and on-the-job training\xe2\x80\xa6'"
41,"b'....as Secretary of the Air Force, and I know she will be equally great in the very important world of higher educa\xe2\x80\xa6 https://t.co/QaUrjFrfI0'"
42,"b'Congratulations to Heather Wilson, who is the sole finalist to become the next President of University of Texas at\xe2\x80\xa6 https://t.co/3rzJXWoKXs'"
43,b'Bad lawyer and fraudster Michael Cohen said under sworn testimony that he never asked for a Pardon. His lawyers tot\xe2\x80\xa6 https://t.co/1L4VTwB8KG'
44,b'Heading now to the Great State of Alabama!'
45,"b'On International Women\xe2\x80\x99s Day, we honor women worldwide for their vital role in shaping and strengthening our commun\xe2\x80\xa6 https://t.co/JD1kyPrCiB'"
